Entry	Organism	Gene Names	Protein names	EC number
P0CX77	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ASP3-2 YLR157C L9632.7	L-asparaginase 2-2 (EC 3.5.1.1) (L-asparaginase II) (L-asparagine amidohydrolase II) (ASP II)	3.5.1.1
P0CX78	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ASP3-3 YLR158C L9632.8	L-asparaginase 2-3 (EC 3.5.1.1) (L-asparaginase II) (L-asparagine amidohydrolase II) (ASP II)	3.5.1.1
P0CX79	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ASP3-4 YLR160C L9632.9	L-asparaginase 2-4 (EC 3.5.1.1) (L-asparaginase II) (L-asparagine amidohydrolase II) (ASP II)	3.5.1.1
P0CX80	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CUP1-1 MTH1 YHR053C	Copper metallothionein 1-1 (Cu-MT) (Cu-metallothionein) (Copper chelatin) (Copper thionein)	
P0CX81	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CUP1-2 MTH1 YHR055C	Copper metallothionein 1-2 (Cu-MT) (Cu-metallothionein) (Copper chelatin) (Copper thionein)	
P0CX82	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPL19A RPL23A YL14A YBR084C-A YBR084BC	Large ribosomal subunit protein eL19A (60S ribosomal protein L19-A) (L23) (RP15L) (RP33) (YL14)	
P0CX83	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPL19B RPL23B YL14B YBL027W YBL0424	Large ribosomal subunit protein eL19 (60S ribosomal protein L19-B) (L23) (RP15L) (RP33) (YL14)	
P0CX84	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPL35A SOS1 YDL191W D1249	Large ribosomal subunit protein uL29A (60S ribosomal protein L35-A)	
P0CX85	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPL35B SOS2 YDL136W D2170	Large ribosomal subunit protein uL29B (60S ribosomal protein L35-B)	
P0CY06	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MATALPHA1 ALPHA-1 MAT1A MATAL1 YCR040W YCR40W	Mating-type protein ALPHA1 (MATalpha1 protein) (Alpha-1 activator)	
P0CY08	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MATALPHA2 ALPHA-2 MAT2A MATAL2 YCR039C YCR39C	Mating-type protein ALPHA2 (MATalpha2 protein) (Alpha-2 repressor)	
P0CZ17	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ASP3-1 YLR155C L9632.6	L-asparaginase 2-1 (EC 3.5.1.1) (L-asparaginase II) (L-asparagine amidohydrolase II) (ASP II)	3.5.1.1
P10080	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SBP1 SSB1 SSBR1 YHL034C	Single-stranded nucleic acid-binding protein	
P10081	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TIF1 TIF41A YKR059W; TIF2 TIF41B YJL138C J0660	ATP-dependent RNA helicase eIF4A (EC 3.6.4.13) (Eukaryotic initiation factor 4A) (eIF-4A) (Stimulator factor I 37 kDa component) (Translation initiation factor 1/2) (p37)	3.6.4.13
P10127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ADH4 ZRG5 YGL256W NRC465	Alcohol dehydrogenase 4 (EC 1.1.1.1) (Alcohol dehydrogenase IV) (ADHIV)	1.1.1.1
P10174	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	COX7 YMR256C YM9920.10C	Cytochrome c oxidase subunit 7, mitochondrial (Cytochrome c oxidase polypeptide VII)	
P10363	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PRI1 YIR008C YIB8C	DNA primase small subunit (EC 2.7.7.-) (DNA polymerase alpha:primase complex p48 subunit) (DNA polymerase-primase complex p48 subunit) (Pol alpha-primase complex p48 subunit) (DNA primase 48 kDa subunit)	2.7.7.-
P10507	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MAS1 MIF1 YLR163C L9632.10	Mitochondrial-processing peptidase subunit beta (EC 3.4.24.64) (Beta-MPP) (Mitochondrial assembly protein 1) (Processing enhancing protein) (PEP)	3.4.24.64
P10591	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SSA1 YAL005C	Heat shock protein SSA1 (Heat shock protein YG100)	
P10592	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SSA2 YLL024C L0931	Heat shock protein SSA2	
P10614	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ERG11 CYP51 YHR007C	Lanosterol 14-alpha demethylase CYP51 (EC 1.14.14.154) (Cytochrome P450 51) (Cytochrome P450-14DM) (Cytochrome P450-LIA1) (CYPLI) (Ergosterol biosynthetic protein 11) (Lanosterol C14-C32 lyase) (Sterol 14-alpha demethylase)	1.14.14.154
P10622	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPP1B L12EIIB RPL44P RPLA3 YDL130W	Large ribosomal subunit protein P1B (P1B) (60S acidic ribosomal protein P1-beta) (Ax) (L12eIIB) (L44') (YP1beta)	
P10659	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SAM1 ETH10 YLR180W L9470.9	S-adenosylmethionine synthase 1 (AdoMet synthase 1) (EC 2.5.1.6) (Methionine adenosyltransferase 1) (MAT 1)	2.5.1.6
P10664	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPL4A RPL2 RPL2A YBR031W YBR0315	Large ribosomal subunit protein uL4A (60S ribosomal protein L4-A) (L2) (RP2) (YL2)	
P10823	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	GPA2 SSP101 YER020W	Guanine nucleotide-binding protein alpha-2 subunit (GP2-alpha)	
P10862	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RAD18 YCR066W YCR66W	Postreplication repair E3 ubiquitin-protein ligase RAD18 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase RAD18) (Radiation sensitivity protein 18)	2.3.2.27
P10863	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TIR1 SRP1 YER011W	Cold shock-induced protein TIR1 (Serine-rich protein 1) (TIP1-related protein 1)	
P10870	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SNF3 YDL194W D1234	Low glucose sensor SNF3 (High-affinity glucose receptor SNF3) (High-affinity transporter-like sensor SNF3) (Sucrose nonfermenting protein 3)	
P10961	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	HSF1 YGL073W	Heat shock transcription factor (HSTF) (Heat shock factor protein) (HSF)	
P10962	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MAK16 YAL025C	Protein MAK16 (Maintenance of killer protein 16)	
P10964	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPA190 RPA1 RRN1 YOR341W O6276	DNA-directed RNA polymerase I subunit RPA190 (EC 2.7.7.6) (DNA-directed RNA polymerase I 190 kDa polypeptide) (A190) (DNA-directed RNA polymerase I largest subunit)	2.7.7.6
P11075	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SEC7 YDR170C YD9395.01C YD9489.05C	Protein transport protein SEC7	
P11076	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ARF1 YDL192W D1244	ADP-ribosylation factor 1 (EC 3.6.5.2)	3.6.5.2
P11154	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PYC1 PYV YGL062W	Pyruvate carboxylase 1 (EC 6.4.1.1) (Pyruvic carboxylase 1) (PCB 1)	6.4.1.1
P11325	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	NAM2 MSL1 YLR382C L3502.6	Leucine--tRNA ligase, mitochondrial (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	6.1.1.4
P11353	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	HEM13 YDR044W YD5112.02	Oxygen-dependent coproporphyrinogen-III oxidase (COX) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3)	1.3.3.3
P11412	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ZWF1 MET19 YNL241C N1110	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)	1.1.1.49
P11433	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CDC24 CLS4 YAL041W	Cell division control protein 24 (Calcium regulatory protein)	
P11484	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SSB1 YG101 YDL229W	Ribosome-associated molecular chaperone SSB1 (EC 3.6.4.10) (Cold-inducible protein YG101) (Heat shock protein SSB1) (Hsp70 chaperone Ssb)	3.6.4.10
P11491	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PHO8 YDR481C D8035.24	Repressible alkaline phosphatase (EC 3.1.3.1) (Fructose-2,6-bisphosphate 6-phosphatase) (EC 3.1.3.54) (Membrane-bound repressible alkaline phosphatase) [Cleaved into: Soluble alkaline phosphatase (EC 3.1.7.6) (Farnesyl diphosphatase)]	3.1.3.1; 3.1.3.54; 3.1.7.6
P11632	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	NHP6A NHPA YPR052C YP9499.09C	Non-histone chromosomal protein 6A	
P11633	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	NHP6B NHPB YBR089C-A YBR090BC	Non-histone chromosomal protein 6B	
P11655	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SEC12 SED2 YNR026C N3244	Guanine nucleotide-exchange factor SEC12 (Protein transport protein SEC12)	
P11709	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	BIK1 YCL029C YCL29C	Nuclear fusion protein BIK1	
P11710	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	FUS1 YCL027W YCL27W	Nuclear fusion protein FUS1	
P11745	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RNA1 YMR235C YM9959.17C	Ran GTPase-activating protein 1 (Protein involved in RNA production/processing)	
P11746	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MCM1 FUN80 YMR043W YM9532.08	Pheromone receptor transcription factor (GRM/PRTF protein)	
P11747	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TAF13 FUN81 TAF19 YML098W	Transcription initiation factor TFIID subunit 13 (Function unknown 81 protein) (TAFII-19) (TAFII19) (TBP-associated factor 13) (TBP-associated factor 19 kDa)	
P11792	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SCH9 KOM1 YHR205W	Serine/threonine-protein kinase SCH9 (EC 2.7.11.1)	2.7.11.1
P11914	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MAS2 MIF2 YHR024C	Mitochondrial-processing peptidase subunit alpha (Alpha-MPP) (Inactive zinc metalloprotease alpha) (Matrix processing peptidase) (MPP) (Mitochondrial assembly protein 2) (Mitochondrial import function protein 2)	
P11938	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RAP1 GRF1 TUF1 YNL216W N1310	DNA-binding protein RAP1 (Repressor/activator site-binding protein) (SBF-E) (TUF)	
P11972	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SST2 YLR452C L9324.9	Protein SST2	
P11978	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SIR4 ASD1 STE9 UTH2 YDR227W YD9934.12	Regulatory protein SIR4 (Silent information regulator 4)	
P11986	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	INO1 YJL153C J0610	Inositol-3-phosphate synthase (MIP synthase) (EC 5.5.1.4) (Myo-inositol 1-phosphate synthase) (IPS) (MI-1-P synthase)	5.5.1.4
P12383	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PDR1 AMY1 ANT1 BOR2 CYH3 NRA2 SMR2 TIL1 TPE1 TPE3 YGL013C	Transcription factor PDR1 (Pleiotropic drug resistance protein 1)	
P12385	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SUP45 SAL4 SUP1 YBR143C YBR1120	Eukaryotic peptide chain release factor subunit 1 (Eukaryotic release factor 1) (eRF1) (Omnipotent suppressor protein 1)	
P12611	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	WHI2 YOR043W	Growth regulation protein	
P12630	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	BAR1 SST1 YIL015W	Barrierpepsin (EC 3.4.23.35) (BAR proteinase) (Extracellular 'barrier' protein)	3.4.23.35
P12683	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	HMG1 YML075C	3-hydroxy-3-methylglutaryl-coenzyme A reductase 1 (HMG-CoA reductase 1) (EC 1.1.1.34)	1.1.1.34
P12684	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	HMG2 YLR450W L9324.2	3-hydroxy-3-methylglutaryl-coenzyme A reductase 2 (HMG-CoA reductase 2) (EC 1.1.1.34)	1.1.1.34
P12688	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	YPK1 SLI2 YKL126W	Serine/threonine-protein kinase YPK1 (EC 2.7.11.1) (Sphingosine-like immunosuppressant resistant protein 2) (Yeast protein kinase 1)	2.7.11.1
P12689	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	REV1 YOR346W O6339	DNA repair protein REV1 (EC 2.7.7.-) (Reversionless protein 1)	2.7.7.-
P12695	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	LAT1 ODP2 PDA2 YNL071W N2374	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial (EC 2.3.1.12) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (Pyruvate dehydrogenase complex component E2) (PDC-E2) (PDCE2)	2.3.1.12
P12709	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PGI1 YBR196C YBR1406	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	5.3.1.9
P12753	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RAD50 YNL250W N0872	DNA repair protein RAD50 (EC 3.6.-.-) (153 kDa protein)	3.6.-.-
P12754	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	GCD2 TIF224 YGR083C	Translation initiation factor eIF-2B subunit delta (GCD complex subunit GCD2) (Guanine nucleotide exchange factor subunit GCD2) (eIF-2B GDP-GTP exchange factor subunit delta)	
P12866	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	STE6 YKL209C	Alpha-factor-transporting ATPase (EC 7.4.2.7) (Mating factor A secretion protein STE6) (Multiple drug resistance protein homolog) (P-glycoprotein)	7.4.2.7
P12868	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PEP5 END1 VAM1 VPL9 VPS11 VPT11 YMR231W YM9959.13	E3 ubiquitin-protein ligase PEP5 (EC 2.3.2.27) (Carboxypeptidase Y-deficient protein 5) (Histone E3 ligase PEP5) (RING-type E3 ubiquitin transferase PEP5) (Vacuolar biogenesis protein END1) (Vacuolar morphogenesis protein 1) (Vacuolar protein sorting-associated protein 11) (Vacuolar protein-targeting protein 11)	2.3.2.27
P12904	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SNF4 CAT3 SCI1 YGL115W	5'-AMP-activated protein kinase subunit gamma (AMPK gamma) (AMPK subunit gamma) (Regulatory protein CAT3) (Sucrose non-fermenting protein 4)	
P12945	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	NAT1 AAA1 YDL040C D2720	N-terminal acetyltransferase A complex subunit NAT1 (NatA complex subunit NAT1) (Amino-terminal, alpha-amino, acetyltransferase 1)	
P12954	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SRS2 HPR5 RADH YJL092W J0913	ATP-dependent DNA helicase SRS2 (EC 5.6.2.4) (DNA 3'-5' helicase SRS2)	5.6.2.4
P12962	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CAF20 CAF2 CAP20 YOR276W O5453W	Cap-associated protein CAF20 (20 kDa cap-associated protein) (CCR4-associated factor 2) (p20)	
P13099	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TOP3 EDR1 YLR234W L8083.3	DNA topoisomerase 3 (EC 5.6.2.1) (DNA topoisomerase III)	5.6.2.1
P13134	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	KEX2 QDS1 YNL238W N1122	Kexin (EC 3.4.21.61) (Protease KEX2) (Proteinase YSCF)	3.4.21.61
P13185	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	KIN1 YDR122W YD9727.17	Serine/threonine protein kinase KIN1 (EC 2.7.11.1)	2.7.11.1
P13186	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	KIN2 YLR096W L8004.3	Serine/threonine-protein kinase KIN2 (EC 2.7.11.1)	2.7.11.1
P13259	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PCT1 CCT CCT1 YGR202C G7729	Choline-phosphate cytidylyltransferase (EC 2.7.7.15) (CTP:phosphocholine cytidylyltransferase) (CCT) (CT) (Phosphorylcholine transferase)	2.7.7.15
P13365	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CLN3 DAF1 WHI1 YAL040C FUN10	G1/S-specific cyclin CLN3	
P13382	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	POL1 CDC17 YNL102W N2181	DNA polymerase alpha catalytic subunit A (EC 2.7.7.7) (DNA polymerase I subunit A) (DNA polymerase alpha:primase complex p180 subunit) (DNA polymerase-primase complex p180 subunit) (Pol alpha-primase complex p180 subunit)	2.7.7.7
P13393	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SPT15 BTF1 TBP1 YER148W	TATA-box-binding protein (TATA sequence-binding protein) (TBP) (TATA-binding factor) (TATA-box factor) (Transcription factor D) (Transcription initiation factor TFIID TBP subunit)	
P13433	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPO41 YFL036W	DNA-directed RNA polymerase, mitochondrial (EC 2.7.7.6)	2.7.7.6
P13517	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CAP2 YIL034C	F-actin-capping protein subunit beta	
P13574	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	STE12 YHR084W	Protein STE12	
P13586	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PMR1 BSD1 SCC1 YGL167C G1666	Calcium-transporting ATPase 1 (EC 7.2.2.10) (Bypass SOD defects protein 1) (Golgi Ca(2+)-ATPase)	7.2.2.10
P13587	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ENA1 HOR6 PMR2 PMR2A YDR040C YD6888.02C	Sodium/potassium exporting P-type ATPase 1 (EC 7.2.2.3)	7.2.2.3
P13663	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	HOM2 YDR158W YD8358.12	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase)	1.2.1.11
P13712	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MSI1 CAC3 YBR195C YBR1405	Chromatin assembly factor 1 subunit p50 (CAF-1 p50 subunit) (IRA1 multicopy suppressor) (Protein MSI1)	
P13856	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RSR1 BUD1 YGR152C G6658	Ras-related protein RSR1 (EC 3.6.5.2)	3.6.5.2
P14020	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	DPM1 SED3 YPR183W P9705.3	Dolichol-phosphate mannosyltransferase (EC 2.4.1.83) (Dolichol-phosphate mannose synthase) (DPM synthase) (Dolichyl-phosphate beta-D-mannosyltransferase) (Mannose-P-dolichol synthase) (MPD synthase)	2.4.1.83
P14064	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	HAP4 YKL109W YKL465	Transcriptional activator HAP4	
P14065	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	GCY1 GCY YOR120W O31567 YOR3269W	Glycerol 2-dehydrogenase (NADP(+)) (EC 1.1.1.156) (Galactose-inducible crystallin-like protein 1)	1.1.1.156
P14120	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPL30 RPL32 YGL030W	Large ribosomal subunit protein eL30 (60S ribosomal protein L30) (L32) (RP73) (YL38)	
P14126	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPL3 MAK8 TCM1 YOR063W YOR29-14	Large ribosomal subunit protein uL3 (60S ribosomal protein L3) (Maintenance of killer protein 8) (RP1) (Trichodermin resistance protein) (YL1)	
P14164	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ABF1 BAF1 OBF1 REB2 SBF1 YKL112W YKL505	ARS-binding factor 1 (Bidirectionally acting factor 1) (DNA replication enhancer-binding protein OBF1) (SFB-B)	
P14180	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CHS2 YBR038W YBR0407	Chitin synthase 2 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase 2)	2.4.1.16
P14242	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PMS1 YNL082W N2317	DNA mismatch repair protein PMS1 (Postmeiotic segregation protein 1)	
P14284	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	REV3 PSO1 YPL167C P2535	DNA polymerase zeta catalytic subunit (EC 2.7.7.7) (Protein reversionless 3)	2.7.7.7
P14291	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RED1 YLR263W L8479.6	Protein RED1 (Reductional division protein 1)	
P14306	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TFS1 DKA1 NSP1 YLR178C L9470.19	Carboxypeptidase Y inhibitor (CPY inhibitor) (CDC25 suppressor 1) (I(C)) (Ic) (Protein DKA1) (Protein NSP1)	
P14540	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	FBA1 YKL060C YKL320	Fructose-bisphosphate aldolase (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase)	4.1.2.13
P14680	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	YAK1 YJL141C J0652	Dual specificity protein kinase YAK1 (EC 2.7.12.1)	2.7.12.1
P14681	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	KSS1 YGR040W	Mitogen-activated protein kinase KSS1 (MAP kinase KSS1) (EC 2.7.11.24) (Kinase suppressor of SST2)	2.7.11.24
P14682	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CDC34 DNA6 UBC3 YDR054C D4211 YD9609.08C	Ubiquitin-conjugating enzyme E2-34 kDa (EC 2.3.2.23) (Cell division control protein 34) (E2 ubiquitin-conjugating enzyme 3) (E3 ubiquitin ligase complex SCF subunit CDC34) (Ubiquitin carrier protein) (Ubiquitin-protein ligase)	2.3.2.23
P14693	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SAM35 OMP85 TOB38 TOM38 YHR083W	Sorting assembly machinery 35 kDa subunit (Mitochondrial 38 kDa outer membrane protein) (TOB complex 38 kDa subunit)	
P14724	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CDC26 HIT3 SCD26 YFR036W	Anaphase-promoting complex subunit CDC26 (Cell division control protein 26)	
P14736	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RAD4 YER162C	DNA repair protein RAD4	
P14737	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RAD9 YDR217C YD9934.02C	DNA repair protein RAD9	
P14741	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	GCN3 AAS2 TIF221 YKR026C	Translation initiation factor eIF-2B subunit alpha (GCD complex subunit GCN3) (Guanine nucleotide exchange factor subunit GCN3) (Translational activator GCN3) (eIF-2B GDP-GTP exchange factor subunit alpha)	
P14742	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	GFA1 YKL104C YKL457	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (GFAT) (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (Hexosephosphate aminotransferase)	2.6.1.16
P14743	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	NMT1 CDC72 YLR195C L8167.14	Glycylpeptide N-tetradecanoyltransferase (EC 2.3.1.97) (Cell division control protein 72) (Myristoyl-CoA:protein N-myristoyltransferase) (NMT) (Peptide N-myristoyltransferase)	2.3.1.97
P14747	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CMP2 CNA2 YML057W YM9958.05	Serine/threonine-protein phosphatase 2B catalytic subunit A2 (EC 3.1.3.16) (Calcineurin A2) (Calmodulin-binding protein 2)	3.1.3.16
P14772	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	BPT1 YLL015W L1313	Bile pigment transporter 1	
P14832	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CPR1 CPH1 CYP1 SCC1 YDR155C YD8358.10C	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Cyclophilin) (CPH) (Cyclosporin A-binding protein) (PPI-II) (Rotamase)	5.2.1.8
P14904	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	APE1 API LAP4 YSC1 YKL103C YKL455	Vacuolar aminopeptidase 1 (EC 3.4.11.22) (Aminopeptidase yscI) (Leucine aminopeptidase IV) (LAPIV) (Lysosomal aminopeptidase III) (Polypeptidase) (Vacuolar aminopeptidase I)	3.4.11.22
P14906	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SEC63 NPL1 PTL1 YOR254C	Protein translocation protein SEC63 (Protein NPL1) (Sec62/63 complex 73 kDa subunit)	
P14907	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	NSP1 YJL041W J1207	Nucleoporin NSP1 (Nuclear pore protein NSP1) (Nucleoskeletal-like protein) (p110)	
